1000 1500
1 100 52
1 757 47
1 638 18
1 946 60
2 771 12
2 499 32
2 739 42
3 86 66
3 777 79
4 177 52
4 498 98
4 575 14
5 931 29
5 319 53
6 511 87
6 723 60
6 182 9
6 58 93
7 340 2
7 827 5
8 844 74
8 852 83
8 186 26
8 506 21
9 56 88
9 443 1
9 694 41
9 484 17
10 238 57
10 596 75
10 488 63
11 68 86
11 300 43
11 307 12
11 485 13
12 667 70
12 961 17
12 158 50
12 354 69
13 927 23
13 287 40
13 184 15
13 294 33
14 136 100
14 367 99
14 432 85
15 467 37
15 268 75
16 255 40
16 36 21
16 181 7
16 145 3
17 363 4
17 567 26
17 43 52
18 272 70
19 409 89
20 129 83
20 745 67
21 853 33
21 630 98
21 968 14
21 358 21
21 767 74
21 739 88
21 722 90
22 333 77
22 768 34
22 651 39
22 66 70
23 776 14
23 784 35
24 458 98
24 630 88
24 251 80
24 309 24
25 963 20
25 602 5
25 853 24
26 38 85
26 872 33
26 361 95
26 456 84
27 676 55
27 302 73
27 505 88
27 280 68
27 206 86
28 239 23
29 722 25
29 429 80
29 325 41
30 232 30
30 448 36
30 611 29
31 661 43
31 77 26
31 378 50
32 194 32
32 157 45
32 63 26
32 492 48
32 500 74
33 646 100
33 136 61
33 156 6
34 58 56
34 345 24
35 222 5
35 203 59
36 683 76
36 811 93
37 187 64
37 276 86
37 602 59
37 715 31
38 205 68
38 856 55
39 522 96
39 512 73
40 901 37
40 707 21
40 621 70
41 655 94
41 114 83
41 989 85
42 818 93
42 529 56
42 834 37
43 741 23
43 56 62
44 225 25
44 71 8
45 956 14
45 276 20
45 610 86
46 360 81
46 734 70
47 415 18
47 732 96
47 952 26
47 91 4
47 155 36
48 945 83
48 202 28
48 499 4
48 442 26
48 330 100
48 626 44
48 748 15
49 144 55
49 574 11
49 336 84
50 879 85
50 292 45
50 85 40
50 295 95
51 375 83
51 278 97
51 644 81
52 1000 53
52 885 100
52 147 31
52 476 92
52 630 69
53 129 20
53 366 31
54 351 48
54 573 11
55 946 74
55 528 47
55 91 33
55 389 73
57 279 5
57 244 88
57 159 63
57 702 5
58 645 51
58 721 78
58 68 8
59 544 79
59 188 52
59 876 19
59 512 92
59 986 66
60 275 39
60 587 32
61 865 7
61 713 19
61 815 10
62 359 16
62 900 79
63 271 65
63 487 9
63 298 9
64 594 23
64 128 56
64 886 60
65 805 57
66 265 25
66 784 2
67 472 49
67 140 79
67 572 14
68 727 66
68 284 20
68 106 14
68 518 21
69 281 6
69 354 23
70 916 85
71 242 37
71 310 55
71 408 62
72 455 56
72 372 94
72 990 75
73 283 7
73 516 35
74 602 93
74 214 28
74 416 40
75 221 44
75 808 85
76 201 11
76 340 40
76 306 31
76 228 82
77 408 59
77 833 20
77 269 63
78 394 97
78 538 33
78 893 94
79 364 58
79 940 100
79 747 37
80 125 78
81 950 41
82 974 79
82 342 51
82 280 56
83 820 38
83 522 8
83 323 52
84 424 17
84 261 66
84 684 25
84 938 13
85 243 49
85 178 83
85 354 13
85 560 42
85 992 81
86 298 77
86 184 87
86 533 78
86 607 17
87 466 84
87 832 21
88 275 93
88 919 8
88 417 85
89 693 22
89 264 28
90 163 49
90 150 46
90 660 5
91 372 76
92 829 65
92 130 91
92 573 61
92 810 41
92 114 63
93 502 98
94 111 16
94 459 84
95 837 11
96 148 72
97 440 31
97 165 66
97 780 58
97 519 26
98 920 69
98 333 22
98 621 10
99 316 20
99 686 10
100 999 72
101 111 34
101 689 2
101 817 36
101 941 33
102 532 68
103 666 7
104 641 49
104 235 51
105 713 69
105 332 27
105 941 52
105 445 86
106 835 6
106 456 95
106 393 8
107 577 99
107 587 27
107 217 99
108 534 14
108 294 27
108 762 94
109 926 43
110 169 5
110 793 1
110 307 15
111 527 34
112 344 27
112 855 26
112 595 15
113 959 59
113 747 71
113 416 2
113 701 8
114 444 58
114 677 14
114 547 28
115 788 23
115 469 94
116 521 52
116 732 90
116 845 71
117 345 96
118 601 56
118 863 100
118 955 35
119 154 99
119 875 90
119 430 38
120 807 93
120 426 65
121 280 6
121 488 60
121 636 17
122 562 7
122 367 47
123 571 13
123 586 80
124 917 44
124 152 97
124 722 78
125 137 34
125 532 65
126 565 88
126 174 10
127 440 21
128 746 18
128 146 56
128 656 43
130 688 10
130 393 16
131 914 7
131 867 12
131 245 63
132 515 62
133 497 35
133 848 44
133 818 84
134 506 69
134 855 59
135 738 82
135 916 73
135 988 58
136 913 57
137 533 55
137 467 6
138 603 9
138 322 96
138 154 64
138 914 70
138 799 50
139 336 70
139 938 40
140 216 45
140 595 6
141 583 92
142 558 70
142 463 70
142 701 31
142 901 96
143 684 94
143 789 56
143 274 23
144 358 86
144 298 37
145 211 73
146 919 54
146 663 100
146 591 90
146 213 100
147 673 70
147 160 76
147 533 100
147 672 24
148 831 86
148 480 28
149 323 64
149 822 21
149 189 79
150 339 4
150 852 41
150 199 68
150 525 79
151 275 2
152 774 4
152 892 59
153 171 55
153 206 47
153 930 54
153 249 46
154 576 81
154 391 83
155 196 11
156 333 70
156 842 49
157 582 3
157 637 73
157 435 69
158 235 57
158 560 96
158 331 91
158 322 67
159 671 86
159 255 58
160 1000 45
161 658 29
161 369 44
161 870 8
161 707 46
162 479 43
162 511 83
162 541 1
163 204 22
163 955 15
163 419 83
164 287 29
164 560 35
164 604 68
165 978 34
165 583 99
166 410 35
166 469 32
167 860 61
167 574 94
167 397 58
167 564 51
167 436 62
168 976 100
168 800 80
169 400 24
169 700 41
169 788 53
170 725 80
170 662 66
170 390 31
170 905 86
170 763 27
171 371 83
171 773 54
172 384 100
172 197 65
172 226 16
173 366 40
173 391 29
174 346 36
174 836 37
174 747 58
175 196 1
175 353 14
176 219 53
176 867 47
176 892 8
177 748 13
178 272 13
178 868 14
178 758 45
179 537 76
179 198 9
179 842 88
179 708 38
180 318 18
181 922 99
182 361 18
182 430 61
183 327 38
183 964 4
184 721 11
184 780 98
185 420 96
185 735 93
186 251 11
186 354 12
186 386 78
186 349 86
189 626 56
189 333 50
189 945 29
189 876 73
190 425 66
190 256 28
190 948 18
191 326 26
191 566 34
192 951 96
192 272 74
192 823 73
193 845 47
193 689 72
193 791 11
193 254 94
195 572 99
196 434 65
196 870 62
197 258 100
197 655 20
197 395 97
198 714 42
198 375 50
199 802 17
199 978 49
200 770 49
200 929 87
200 266 49
201 284 49
202 298 68
203 530 30
203 237 92
204 426 25
204 500 11
204 841 81
205 881 70
206 399 13
207 391 61
208 370 49
208 295 21
208 793 17
209 590 83
209 267 83
209 762 3
209 487 44
209 779 17
210 383 74
210 228 97
210 393 53
210 340 6
211 859 95
211 286 51
211 316 76
212 213 45
212 549 86
212 846 48
213 551 34
214 965 75
214 494 2
214 854 36
214 975 7
214 501 73
214 359 43
214 905 51
215 949 99
215 233 46
215 509 77
216 545 66
216 324 82
216 293 71
217 732 93
217 529 93
